Number,Currency Pair,TOKEN,PRICE,AGE,BUYS,SELLS,VOLUME,MAKERS,5M,1H,6H,24H,LIQUIDITY,FDV
#48,FIFAII/USDT,USDT,$18.28,1h,28,27,$26K,42,2.18%,-7.60%,-6.98%,-6.98%,$57K,182890000000.0
#3,FIFAII/USDT,USDT,$18.00,4h 10m,536,353,$896K,403,0.14%,-9.93%,241%,241%,$212K,180040000000.0
#133,HIMA/WETH,WETH,$0.00009680,14h 57m,1,0,$5,1,0%,0%,4.05%,4.05%,$96.8M,43560000000.0
#14,CMA/USDT,USDT,$0.1365,2h 59m,636,455,$183K,351,-0.94%,10.06%,-18.74%,-18.74%,$23K,1360000000.0
#6,CMA/USDT,USDT,$0.1356,2h 36m,693,942,$360K,257,-1.33%,9.41%,28.90%,28.90%,$656K,1350000000.0
#53,GOS/USDT,USDT,$15.01,16h 41m,9,6,$22K,11,0.25%,0.25%,3.22%,50.28%,$1.2M,150100000.0
#16,SOPH/WETH,WETH,$0.1294,22h 1m,117,81,$176K,67,0.16%,-2.88%,21.26%,21.16%,$242K,129400000.0
#110,WEB3/WBNB,WBNB,$0.01035,2h 40m,24,12,$1.4K,6,0%,2.52%,83.15%,83.15%,$37K,51700000.0
#76,BKN/USDT,USDT,$0.1755,21h 52m,9,7,$11K,8,0%,0.20%,-2.69%,7.66%,$209K,25100000.0
#13,SOPH/WBNB,WBNB,$0.1337,22h,404,285,$192K,256,0%,0.73%,23.76%,13.48%,$266K,13300000.0
#134,SABLE/USDT,USDT,$0.05944,21h 1m,1,0,$2,1,0%,0%,0.09%,0.86%,$10K,5900000.0
#96,VINU/USDT,USDT,$0.088262,8h 29m,7,26,$4.1K,26,-0.33%,-1.33%,-2.07%,-1.47%,$168K,4600000.0
#97,Mog/WETH,WETH,$0.071214,11h 47m,1,3,$4.1K,1,0%,0%,-14.58%,21.59%,$17K,4300000.0
